,﻿Status,Opp Type,Opp ID,Program Name,Acronym,Organization Level 1,Organization Level 2,Solicitation Number,Value (USD-$K),Summary,Contract Value,NAICS,Classification Code (SAM),Solicitation Date,Solicitation Date (Actual/Estimate),Projected Award Date,Response Date
167,Awarded,Tracked Opportunities,137323,FORT BELVOIR NETWORK ENTERPRISE CENTER INFORMATION TECHNOLOGY AUTOMATION AND TECHNICAL SUPPORT SERVICES (NEC),NEC,ARMY,ARMY CYBER COMMAND,RFQ1162682,"28,952","Telesis Corporation is fulfilling the Department of the Army, Chief Information Officer (CIO), Network Enterprise Technology Command/9th Army Signal Command, requirement to provide non-personal information technology (IT) automation and technical support services to the Regional Network Enterprise Center – National Capital Region (RNEC-NCR) and all supported customers.",34723,541513 - Computer Facilities Management Services,,01/2017,(Deltek Estimate),07/13/2017,02/23/2017
168,Awarded,Tracked Opportunities,127552,DEPOT MAINTENANCE OPERATIONS PLANNING SYSTEM SUPPORT (DMOPS),DMOPS,ARMY,CHIEF OF STAFF OF THE ARMY,W52P1J15RDMOPS,729,"Booz Allen Hamilton Inc. is fulfilling the Department of the Army, Army Chief of Staff of the Army (ODCS), Deputy Chief of Staff G-4 (Pentagon), requirement for Depot Maintenance Operations Planning System (DMOPS) Support.",0,541513 - Computer Facilities Management Services,,08/2015,(Deltek Estimate),09/28/2015,
169,Awarded,Tracked Opportunities,123874,22ND MEDICAL GROUP IT HELP DESK,,AIR FORCE,AIR MOBILITY COMMAND,FA462118R0001,599,"Abacus Technology Corp is fulfilling the Department of the Air Force, Air Mobility Command, 18th Air Force, 22nd Air Refueling Wing, 22nd Medical Group requirement for two (2) full-time equivalent qualified information services help desk technicians responsible for IT support and help desk operations.",599,541513 - Computer Facilities Management Services,,02/2018,(Deltek Estimate),03/29/2018,
170,Awarded,Tracked Opportunities,160941,NETWORK OPERATIONS CENTER OPERATIONS AND MAINTENANCE SUPPORT SERVICES (NOC),NOC,HOMELAND SECURITY,US CITIZENSHIP AND IMMIGRATION SERVICES,F2017037376,"14,479","Deltek believes Validatek-Citi, LLC is now fulfilling the Department of Homeland Security, U.S. Citizenship and Immigration Services (USCIS) continuing requirement for Network Operations Center operations and maintenance support services","14448, 11996","518210 - Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",,12/2017,(Deltek Estimate),02/12/2018,
171,Expired/Archived,Tracked Opportunities,165241,DISA ECOSYSTEM MAINFRAME SUPPORT SMALL BUSINESS,,DEFENSE,DEFENSE INFORMATION SYSTEMS AGENCY,831812227A,TBD,"An unknown contractor could be performing services for the Department of Defense (DoD), Defense Information Systems Agency (DISA), requirement for Ecosystem Mainframe Support for Small Business Set Aside.",,541513 - Computer Facilities Management Services,,08/2018,(Deltek Estimate),,
172,Awarded,Tracked Opportunities,164313,SOFTWARE ASSET MANAGEMENT SERVICES FOR THE USCIS OFFICE OF INFORMATION TECHNOLOGY APPLIED TECHNOLOGY DIVISION ATD,,HOMELAND SECURITY,US CITIZENSHIP AND IMMIGRATION SERVICES,F2017040399,"6,240","Acuity, Inc. is fulfilling the Department of Homeland Security, U.S. Citizenship and Immigration Services requirement for Software Asset Management services for the USCIS, Office of Information Technology, Applied Technology Division (ATD).",6240,"518210 - Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",,06/2018,(Deltek Estimate),09/24/2018,
173,Awarded,Tracked Opportunities,181800,PREVENTATIVE MAINTENANCE SERVICE PROGRAM FOR TELEPHONE SYSTEMS,,HOMELAND SECURITY,CUSTOMS AND BORDER PROTECTION,F2019046822,250,"Avaya, Inc. is fulfilling the Department of Homeland Security, Customs and Border Protection, US Border Patrol, Spokane Sector's requirement for preventative maintenance service program to protect against and prevent down time to the telephone systems.",250,541513 - Computer Facilities Management Services,,07/2019,(Deltek Estimate),09/18/2019,
174,Awarded,Tracked Opportunities,157653,BUREAU OF LABOR STATISTICS IT INFRASTRUCTURE SUPPORT SERVICES,,LABOR,BUREAU OF LABOR STATISTICS,1625DC17N00005,"34,596","FAVOR TECHCONSULTING, LLC is currently fulfilling the Department of Labor's Bureau of Labor Statistics requirement for Information Technology (IT) Infrastructure support, and related work.",34596,541513 - Computer Facilities Management Services,,09/2018,(Deltek Estimate),08/21/2019,
175,Deleted/Canceled,Tracked Opportunities,170519,NETWORK MANAGEMENT AND SUPPORT SERVICES,,ARMY,"ASA ACQUISITION, LOGISTICS AND TECHNOLOGY",W52P1J18CUCSCC,TBD,"The Department of the Army, Assistant Secretary for Acquisition, Logistics and Technology, Program Executive Office-Enterprise Information Systems (PEO-EIS), no longer has a requirement for network management and support services.",,"518210 - Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",,,(Deltek Estimate),,
176,Awarded,Tracked Opportunities,150376,CYBER SECURITY DEFENSE CSDS CONTRACT LABOR SERVICES FOR USCIS IT INFRASTRUCTURE AND RESOURCES,,HOMELAND SECURITY,US CITIZENSHIP AND IMMIGRATION SERVICES,F2017035804,"15,927","Sevatec, Inc. is fulfilling the U.S. Citizenship and Immigration Services (USCIS), Office of Information Technology (OIT), Information Security Division's (ISD) requirement to acquire Cyber Security Defense (CSDS) Contract Labor Services to protect USCIS' IT infrastructure and resources, information systems, and the information used in these environments from cybersecurity threats.",15928,"518210 - Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",,05/2017,(Deltek Estimate),08/02/2017,
177,Awarded,Tracked Opportunities,174888,IT OPERATIONS SUPPORT FORT BELVOIR,,ARMY,"ASA ACQUISITION, LOGISTICS AND TECHNOLOGY",W91CRB19R0022,"1,577","GCubed, Inc. is fulfilling the Department of the Army, Army Acquisition Support Center requirement for dedicated information technology desktop services onsite at building 201, Ft Belvoir, Virginia.",1577,541513 - Computer Facilities Management Services,,01/2019,(Deltek Estimate),02/28/2019,
178,Awarded,Tracked Opportunities,158649,DLSA IT SUPPORT SERVICES,,DEFENSE,WASHINGTON HEADQUARTERS SERVICE,HQ003418R0044,130,"Digital Management LLC is fulfilling the Department of Defense (DoD), Washington Headquarters Services (WHS) continuing requirement for Information Technology (IT) Support Services for the Defense Legal Services Agency (DLSA).","500, 0, 1310",541513 - Computer Facilities Management Services,,06/2018,(Deltek Estimate),05/28/2019,
179,Deleted/Canceled,Tracked Opportunities,153955,APPLICATIONS MAINTENANCE AND ENHANCEMENTS SUPPORT,,OFFICE OF PERSONNEL MANAGEMENT,,OPM3217N0005,TBD,"The Office of Personnel Management no longer has a requirement to provide Application Maintenance and Enhancement Support services in support of Office of Personnel Management (OPM) Chief Information Officer (CIO), National Background Investigations Bureau (NBIB) IT Program Management Office (NBIB ITPMO).",,"518210 - Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",,,(Deltek Estimate),,
180,Awarded,Tracked Opportunities,166363,C4IM IT SERVICES FOR US ARMY CIVIL AFFAIRS AND PSYCHOLOGICAL OPERATIONS COMMAND AIRBORNE (USACAPOC(A)),USACAPOC(A),ARMY,ARMY RESERVE COMMAND,PANMCC18P0000074023,"9,096","Centech Group, Inc. is fulfilling the Department of the Army, Army Reserve Command (USAR),  United States Army Civil Affairs and Psychological Operations Command (Airborne) (USACAPOC(A)), requirement for C4IM IT services.",9096,541513 - Computer Facilities Management Services,,12/2018,(Deltek Estimate),03/13/2019,
181,Awarded,Tracked Opportunities,153596,COMMAND CONTROL COMMUNICATIONS COMPUTERS AND INFORMATION MANAGEMENT AND KNOWLEDGE MANAGEMENT SERVICES (C4IM)(KM),C4IM)(KM,ARMY,ARMY MATERIEL COMMAND,W91RUS17RARCY,"4,710","General Dynamics is fulfilling the Department of the Army, Army Materiel Command, Army Contracting Command on behalf of the U.S Army Cyber Command (ARCYBER) requirement for Command, Control, Communications, Computers, and Information Management (C4IM) and Knowledge Management (KM) Services.",4710,541513 - Computer Facilities Management Services,,02/2018,(Deltek Estimate),10/12/2018,
182,Awarded,Tracked Opportunities,70058,WESTERN HEMISPHERE TRAVEL INITIATIVE INFRASTRUCTURE LAND BORDER INTEGRATION (WHTI)(LBI),WHTI)(LBI,HOMELAND SECURITY,CUSTOMS AND BORDER PROTECTION,,"127,677",Unisys Corporation is currently fulfilling the US Bureau of Customs and Border Protection requirement for WHTI Land Border Integration (LBI).,"112865, 350000",541513 - Computer Facilities Management Services,,06/2010,(Deltek Estimate),09/30/2010,
183,Awarded,Tracked Opportunities,144147,BASE CLIENT SUPPORT SERVICES (BCSS),BCSS,AIR FORCE,AIR FORCE MATERIEL COMMAND,FA810117RMH01,"24,598","Croop-LaFrance, Inc. is fulfilling the requirement of the Department of the Air Force, Air Force Materiel Command, Air Force Sustainment Center, 72nd Air Base Wing, 72nd Communications Directorate for base client support services.",25156,541513 - Computer Facilities Management Services,,02/2017,(Deltek Estimate),08/21/2017,
184,Awarded,Tracked Opportunities,172100,USACE WEB BASED COMMERCIAL REAL ESTATE RESEARCH TOOL,,ARMY,ARMY CORPS OF ENGINEERS,W9126G18R0425,12,"CoStar Realty Information Inc. is fulfilling the Department of the Army, U.S. Army Corps of Engineers, Fort Worth District, requirement for Web Based Commercial Real Estate Research Tool.",12,"518210 - Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",,08/2018,(Deltek Estimate),09/24/2018,
185,Awarded,Tracked Opportunities,163691,COAST GUARD WIDE ADVANCED METER MAINTENANCE AND SERVICE CONTRACT,,HOMELAND SECURITY,US COAST GUARD,70Z0G118SCGWAMI,TBD,"A vendor is fulfilling the requirement of the Department of Homeland Security, US Coast Guard, Engineering and Logistics Directorate, Civil Engineering for Coast Guard-wide advanced meter maintenance and service contract.",,"518210 - Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",,07/2018,(Deltek Estimate),11/2018,08/16/2018
186,Awarded,Tracked Opportunities,88702,IT AND TELECOMMUNICATIONS SUPPORT SERVICES (NITTSS),NITTSS,NATIONAL ARCHIVES AND RECORDS ADMINISTRATION,OFFICE OF ADMINISTRATIVE SERVICES,NAMA14Q0012,"55,949","Attain, LLC is currenlty fulfilling the National Archives and Records Administration's (NARA) requirement for IT and telecommunications support services.",55949,541513 - Computer Facilities Management Services,,02/2014,(Deltek Estimate),06/11/2014,
187,Awarded,Tracked Opportunities,159938,UPGRADE TSA AIR CARGO LEGACY SYSTEMS TO FACILITATE NEW TECHNOLOGIES,,HOMELAND SECURITY,TRANSPORTATION SECURITY ADMINISTRATION,70T03018R2LPIE005,"2,286","Soft Tech Consulting, Inc. is fulfilling the Department of Homeland Security, Transportation Security Administration, Air Cargo requirement to upgrade their legacy systems to facilitate new technologies.",2286,"518210 - Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",,08/2018,(Deltek Estimate),09/26/2018,
188,Awarded,Tracked Opportunities,167534,DATA CENTER STORAGE SERVICES,,HOMELAND SECURITY,CUSTOMS AND BORDER PROTECTION,F2017040405,"10,000","The US Department of Homeland Security (DHS), US Custom and Border Protection (CBP), has awarded a contract for their requirement for data center storage services. Deltek is awaiting contract details.",,"518210 - Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",,04/2018,(Deltek Estimate),06/2018,
189,Awarded,Tracked Opportunities,160687,CAPITAL ASSETS AND FACILITIES MANAGEMENT,,VETERANS AFFAIRS,VETERANS HEALTH ADMINISTRATION,VA26217N2049,406,"Indus Systems Inc. is fulfilling the Department of Veterans Affairs, Network Contracting Office 22 requirement for Capital Assets and Facilities Management.",406,541513 - Computer Facilities Management Services,,03/2018,(Deltek Estimate),04/18/2018,
190,Deleted/Canceled,Tracked Opportunities,117943,NETWORK ENTERPRISE CENTER INFORMATION TECHNOLOGY SERVICES AT FORT JACKSON (NEC)(IT),NEC)(IT,ARMY,ARMY TRAINING AND DOCTRINE COMMAND,,"2,927","The Department of Army, Army Training and Doctrine Command (TRADOC), Army Signal Center of Excellence, no longer has a requirement for Network Enterprise Center (NEC) Information Technology (IT) Specialists at Fort Jackson, SC.",2927,541513 - Computer Facilities Management Services,,01/2018,(Deltek Estimate),,
191,Awarded,Tracked Opportunities,149887,MEDICARE CASEWORK SUPPORT,,HEALTH AND HUMAN SERVICES,CENTERS FOR MEDICARE AND MEDICAID SERVICES,SSNMCS,"8,713","The US Health and Human Services, Centers for Medicare & Medicaid Services has a requirement for Medicare Casework Support which was sole sourced to an 8(a) vendor.",8713,"518210 - Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",,04/2018,(Deltek Estimate),05/2018,
192,Awarded,Tracked Opportunities,157355,MULTIMEDIA AND VTC MAINTENANCE AND REPAIR,,NAVY,NAVAL SUPPLY SYSTEMS COMMAND,N0018918TVTCM,"1,065","Virginia Energy & Lighting, LLC is fulfilling the Department of the Navy, Naval Supply Systems Command, NAVSUP Fleet Logistics Center Norfolk's requirement for Multimedia and VTC Maintenance and Repair.","25, 40, 1065",541513 - Computer Facilities Management Services,,08/2017,(Deltek Estimate),09/27/2017,
193,Awarded,Tracked Opportunities,159163,TSA INFORMATION TECHNOLOGY NATIONAL EXPLOSIVES DETECTION CANINE TEAM PROGRAM DEVELOPMENT PROJECTS (NEDCTP),NEDCTP,HOMELAND SECURITY,TRANSPORTATION SECURITY ADMINISTRATION,70T03018R2NNCP072,"13,161","Acuity Inc. is fulfilling the Department of Homeland Security (DHS), Transportation Security Administration (TSA) requirement for Agile development teams to participate in IT development projects using Scrum, Agile and Lean processes to support the National Explosives Detection Canine Team Program (NEDCTP).",13161,"518210 - Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",,11/2017,(Deltek Estimate),02/07/2018,
194,Awarded,Tracked Opportunities,163095,DISA TIME DIVISION MULTIPLEXING ELIMINATION TECHNOLOGY SUPPORT (TDM),TDM,DEFENSE,DEFENSE INFORMATION SYSTEMS AGENCY,831811624A,TBD,"An Unknown Vendor is fulfilling the Department of Defense (DoD), Defense Information Systems Agency's requirement for Time-Division Multiplexing (TDM) Elimination Technology Support.",,541513 - Computer Facilities Management Services,,01/2018,(Deltek Estimate),02/2018,
195,Awarded,Tracked Opportunities,155432,DATA CENTER HOSTING SERVICES FOR OFFICE OF PERSONNEL MANAGEMENT,,OFFICE OF PERSONNEL MANAGEMENT,,OPM3217S0001,"4,189","The Office of Personnel Management has a requirement to procure hosting services to expand the capacity and capability of OPM’s current data center, expanding its capabilities and systems into a Tier 3+ class data center hosting services environment.",4189,"518210 - Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",,11/2017,(Deltek Estimate),09/27/2017,
196,Awarded,Tracked Opportunities,146649,NATIONAL AIR SPACE SYSTEM OPERATIONS AND MAINTENANCE DOCUMENTATION,,TRANSPORTATION,FEDERAL AVIATION ADMINISTRATION,25894,TBD,"Flatirons Solutions Corporation is currently fulfilling the Department of Transportation, Federal Aviation Administration requirement for software products and services to create, configuration manage and deliver National Air Space (NAS) system operations and maintenance documentation.",626,"518210 - Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",,08/2017,(Deltek Estimate),09/27/2017,
197,Awarded,Tracked Opportunities,146644,CLOUD CYBER INFORMATION SECURITY SERVICES,,SMALL BUSINESS ADMINISTRATION,,SBAHQ17R0001,"47,964",Zentech is currently fulfilling the Small Business Administration's (SBA) requirement for Cloud Cyber Information Security Services.,47964,541513 - Computer Facilities Management Services,,07/2017,(Deltek Estimate),09/2017,
198,Awarded,Tracked Opportunities,144805,IT SECURITY MANAGED SERVICES,,NATIONAL GALLERY OF ART,,NGA16RFI0064MB,TBD,"A vendor is fulfilling the US Smithsonian Institution, National Gallery of Art requirement for IT Security Managed Services.",,"518210 - Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",,12/2017,(Deltek Estimate),12/2017,
199,Awarded,Tracked Opportunities,103125,IT MAINTENANCE AND DOCUMENTATION SUPPORT,,AIR FORCE,AIR FORCE MATERIEL COMMAND,FA863013R5025,328,"The Department of the Air Force, Air Force Materiel Command (AFMC), Air Force Life Cycle Management Center (AFLCMC), Air Force Security Assistance and Cooperation (AFSAC) Directorate, has a requirement for IT maintenance and documentation support to the AFSAC Case Management Control System (CMCS) Program Manager and individuals who support the AFSAC CMCS Program office or designated USAF representative.",328,541513 - Computer Facilities Management Services,,10/2013,(Deltek Estimate),11/2013,
200,Awarded,Tracked Opportunities,149464,DATA CTR EQUIP SOFTWARE MAINT SUPPORT,,HOMELAND SECURITY,CUSTOMS AND BORDER PROTECTION,HWSWMAINT2017RFI,TBD,"A vendor is fulfilling the Department of Homeland Security (DHS), U.S. Customs and Border Protection (CBP), requirement for Data Center Equipment and Software Maintenance Support.",,541513 - Computer Facilities Management Services,,03/2017,(Deltek Estimate),04/2017,
201,Awarded,Tracked Opportunities,152498,INFORMATION TECHNOLOGY SERVICE MANAGEMENT TOOL (ITSM),ITSM,VETERANS AFFAIRS,"OFFICE OF ACQUISITION, LOGISTICS, AND CONSTRUCTION",VA11817N1964,"119,678","HMS Technologies, Inc. is fulfilling the Department of Veterans Affairs, Technology Acquisition Center requirement for for a secure cloud-based Information Technology Service Management (ITSM) Tool.",119678,"518210 - Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",,08/2017,(Deltek Estimate),09/22/2017,
202,Awarded,Tracked Opportunities,155064,CONTRACT REVIEW TOOL,,TREASURY,INTERNAL REVENUE SERVICE,TIRNO17Q00222,620,"GXM Consulting LLC is fulfilling the US Department of the Treasury, Internal Revenue Service's (IRS) requirement for a Contract Review Tool.",620,"518210 - Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",,08/2017,(Deltek Estimate),09/29/2017,09/06/2017
203,Deleted/Canceled,Tracked Opportunities,160599,INDUSTRY DAY FOR ENTERPRISE INFORMATION TECHNOLOGY SHARED SERVICES (EITS),EITS,TRANSPORTATION,,,TBD,The Department of Transportation has a requirement for Enterprise Information Technology (IT) Shared (EITS) Services.,,541513 - Computer Facilities Management Services,,11/2017,(Deltek Estimate),,
204,Awarded,Tracked Opportunities,102953,CRITICAL UPS AND BATTERY EQUIPMENT SUPPORT (CUBES),CUBES,DEFENSE,DEFENSE INFORMATION SYSTEMS AGENCY,CUBES,"14,962","Pergravis, LLC is fulfilling the Department of Defense (DoD), Defense Information Systems Agency (DISA), Computing Services Directorate's requirement for Critical UPS & Battery Equipment Support (CUBES).",14962,541513 - Computer Facilities Management Services,,03/2017,(Deltek Estimate),04/11/2017,
205,Awarded,Tracked Opportunities,138111,DSS ENTERPRISE INFORMATION COLLECTION SERVICES,,DEFENSE,DEFENSE COUNTERINTELLIGENCE AND SECURITY AGENCY,HS002116RFI0007,TBD,"A vendor is providing services to the Department of Defense (DoD), Defense Security Service's (DSS), requirement for Enterprise Information Collection Services.",0,"518210 - Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",,06/2016,(Deltek Estimate),08/2016,
206,Awarded,Tracked Opportunities,144816,INFORMATION TECHNOLOGY SUPPORT SERVICES AT JOINT BASE LEWIS MCCHORD,,ARMY,ARMY MATERIEL COMMAND,W911S816R0019,TBD,"A Contractor is fulfilling the Department of the Army, Army Installation Management Command, requirement for IT & Support Services at Joint Base Lewis-McChord (JBLM) Directorate of Public Works (DPW) & Directorate of Plans, Training, Mobilization and Security (DPTMS).",7651,541513 - Computer Facilities Management Services,,03/2017,(Deltek Estimate),12/29/2016,
207,Awarded,Tracked Opportunities,119834,FINANCIAL MANAGEMENT SYSTEM,,MARINE CORPS,MARINE CORPS COMMUNITY SERVICES,H0313I0001,TBD,"An unknown vendor is fulfilling the United States Marine Corps, Semper Fit and Excange Services Division's requirement for information on the core financial applications of an Enterprise Resource Planning (ERP) suite software solution, referred to as the FMS.",0,541513 - Computer Facilities Management Services,,08/2015,(Deltek Estimate),08/2016,
208,Awarded,Tracked Opportunities,128698,FAA INFRASTRUCTURE AND OPERATIONS SERVICES SUPPORT,,TRANSPORTATION,FEDERAL AVIATION ADMINISTRATION,22186,"67,061","A3 Technology, Inc. is fulfilling the Department of Transportation, Federal Aviation Administration, requirement for Infrastructure and Operations (I&O) Services Support.",67061,541513 - Computer Facilities Management Services,,06/2016,(Deltek Estimate),11/22/2016,
209,Awarded,Tracked Opportunities,145247,INFORMATION TECHNOLOGY SUPPORT SERVICES,,NATIONAL LABOR RELATIONS BOARD,,NLRB6317RFI0001,"22,000","Puyenpa Services, LLC is currently fulfilling the National Labor Relations Board requirement for Information Technology (IT) Support Services.",22000,541513 - Computer Facilities Management Services,,01/2017,(Deltek Estimate),03/07/2017,
210,Awarded,Tracked Opportunities,91931,COMPUTER TECHNOLOGY SUPPORT,,AIR FORCE,SPECIAL OPERATIONS COMMAND,FA485517R0001,77,"Deltek anticipates A Solution, Inc. is fulfilling the Department of the Air Force, Air Force Special Operations Command (AFSOC), 27th Special Operations Wing's (27th SOW) recurring requirement for non-personal services in support of U.S. Air Force voluntary off-duty education program providing computer technology support and assistance to the Base Training and Education Services (BTES) office.",77,541513 - Computer Facilities Management Services,,08/2016,(Deltek Estimate),10/20/2016,
211,Awarded,Tracked Opportunities,95715,END USER IT SUPPORT SERVICES,,AGRICULTURE,OFFICE OF THE CHIEF INFORMATION OFFICER,AG3144S150005,"19,900",STS Systems Integration is fulfilling the United States Department of Agriculture's (USDA) requirement for end user information technology support services.,19900,541513 - Computer Facilities Management Services,,12/2014,(Deltek Estimate),12/18/2014,
212,Awarded,Tracked Opportunities,104232,DEFENSE TECHNOLOGY SECURITY ADMINISTRATION IT SUPPORT (DTSA),DTSA,DEFENSE,OFFICE OF THE SECRETARY OF DEFENSE,DTSA052015,"6,766","Salient Federal Solutions, Inc. is providing services to the Department of Defense (DoD),Washington Headquarters Services (WHS), on behalf of the Defense Technology Security Administration's (DTSA), requirement for DTSA IT Support.",6766,541513 - Computer Facilities Management Services,,01/2016,(Deltek Estimate),05/17/2016,
213,Awarded,Tracked Opportunities,92302,AFECMO MICROSOFT CONSULTING SERVICES,,AIR FORCE,AIR FORCE MATERIEL COMMAND,,"25,000","Microsoft Corporation is fulfilling the Department of the Air Force, Air Force Materiel Command (AFMC), Air Force Life Cycle Management Center (AFLCMC), PEO Business and Enterprise Systems, Operations Division, Enterprise Services Support Branch (AFLCMC/HIZN) requirement for Air Force Enterprise Configuration Management Office (AFECMO) Microsoft Consulting Services.","0, 0",541513 - Computer Facilities Management Services,,06/2013,(Deltek Estimate),08/13/2013,
214,Awarded,Tracked Opportunities,86494,SERVICES ORIENTED ARCHITECTURE WEB SERVICES AND LAW ENFORCEMENT INFORMATION SHARING SERVICE (SOA LEISS),SOA LEISS,HOMELAND SECURITY,IMMIGRATION AND CUSTOMS ENFORCEMENT,,652,"SAIC is fulfilling the Department of Homeland Security, Immigration and Customs Enforcement (ICE) requirement for Services Oriented Architecture (SOA), Web Services, and Law Enforcement Information Sharing Services (LEISS).",652,541513 - Computer Facilities Management Services,,01/2014,(Deltek Estimate),03/2014,
215,Deleted/Canceled,Tracked Opportunities,143817,IRB NET FOR ELECTRONIC FILE MANAGEMENT OF RESEARCH PROTOCOLS BUFFALO VA MEDICAL CENTER,,VETERANS AFFAIRS,VETERANS HEALTH ADMINISTRATION,VA24216Q0375,30,"Research Dataware, LLC is currently fulfilling the Department of Veterans Affairs, Network Contracting Office 2 requirement for a contractor to provide IRB net for Electronic File Management of Research Protocols Buffalo VA Medical Center.",30,"518210 - Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",,09/2016,(Deltek Estimate),10/03/2016,
216,Awarded,Tracked Opportunities,98647,CYBER SECURITY AND INFORMATION TECHNOLOGY,,LABOR,OFFICE OF THE CHIEF FINANCIAL OFFICER,DOL141RP21900,"7,257","Obxtek, Inc. is fulfilling the Office of the Chief Financial Officer (OCFO)'s requirement for Cyber Security and IT Services to assess, monitor, respond, and remediate applicable security controls and policies as defined by the Office of Management and Budget (OMB), National Institute of Standards and Technology (NIST), the Department of Labor (DOL), and the Office of Chief Information Officer (OCIO) Security.",7257,541513 - Computer Facilities Management Services,,05/2014,(Deltek Estimate),11/19/2014,
217,Awarded,Tracked Opportunities,114677,SEVP SEVIS TIER 2 HELP DESK SUPPORT SERVICES,,HOMELAND SECURITY,IMMIGRATION AND CUSTOMS ENFORCEMENT,,"2,914","VariQ Corporation is fulfilling the Department of Homeland Security, Bureau of Immigration and Customs Enforcement requirement for Tier 2 Help Desk support for the Student & Exchange Visitor Information System (SEVIS).",5145,"518210 - Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",,07/2014,(Deltek Estimate),09/20/2014,08/15/2014
218,Awarded,Tracked Opportunities,128093,INDEPENDENT INFORMATION PROVIDER (IIP),IIP,HOMELAND SECURITY,US CITIZENSHIP AND IMMIGRATION SERVICES,HSSCCG15R00051,"20,688","Dun and Bradstreet, Inc. is fulfilling the Department of Homeland Security (DHS), US Citizenship and Immigration Services (USCIS) requirement for Independent Information Provider (IIP) Services.",20688,"518210 - Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",,07/2015,(Deltek Estimate),09/29/2015,
219,Awarded,Tracked Opportunities,99812,INFORMATION MANAGEMENT SERVICES FOR CARLISLE BARRACKS (DOIM),DOIM,ARMY,ARMY CYBER COMMAND,,"30,648","A&T Systems is fulfilling the Department of the Army, Chief Information Office, Network Enterprise Technology Command/9th Army Signal Command, requirement for information technology and telecommunications support services for the Directorate of Information Management (DOIM) at Fort Carlisle Barracks, Pennsylvania.",30648,541513 - Computer Facilities Management Services,,08/2016,(Deltek Estimate),11/09/2016,09/14/2016
220,Awarded,Tracked Opportunities,129949,DATA CENTER MONITORING PROJECT FOR 2 SITES,,VETERANS AFFAIRS,"OFFICE OF ACQUISITION, LOGISTICS, AND CONSTRUCTION",VA11816R0859,514,"Thundercat Technology, LLC is currently fulfilling the Department of Veterans Affairs, Technology Acquisition Center requirement for a contractor to provide Data Center Monitoring Project for 2 Sites.",514,541513 - Computer Facilities Management Services,,08/2016,(Deltek Estimate),09/21/2016,
221,Awarded,Tracked Opportunities,139294,DIGITAL SUBSCRIPTION FOR MEDIA MANAGEMENT AT FORT BRAGG NC,,ARMY,ARMY MATERIEL COMMAND,W9124716T0035,TBD,"An unknown contractor is fulfilling the Department of the Army, Army Material Command, Army Contracting Command, Mission and Installation Contracting Command Fort Bragg, requirement to provide Digital Subscription for Media Management at Fort Bragg, NC.",,"518210 - Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",,08/2016,(Deltek Estimate),09/2016,
222,Awarded,Tracked Opportunities,135662,ENTERPRISE MILITARY HOUSING PROGRAM FOR COMMANDER NAVAL INSTALLATION COMMAND EMH PROJECT MANAGEMENT OFFICE PMO (EMH)(CNIC)(PMO),EMH)(CNIC)(PMO,DEFENSE,DEFENSE INFORMATION SYSTEMS AGENCY,MAC0117,TBD,"A vendor is providing services to the Department of Defense (DoD), Defense Information Systems Agency (DISA), requirement for Enterprise Military Housing (eMH) program for Commander, Naval Installation Command (CNIC), eMH Project Management Office (PMO).",,"518210 - Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",,06/2016,(Deltek Estimate),09/2016,
223,Awarded,Tracked Opportunities,108300,MAIL AND PARCEL SCREENING SERVICES,,DEFENSE,WASHINGTON HEADQUARTERS SERVICE,HQ003416R0161,"2,526","Na Ali'i Consulting & Sales, LLC is currently providing services to the Department of Defense (DOD), Washington Headquarters Services (WHS), requirement for Pentagon Force Protection Agency (PFPA) Mail and Parcel Screening.",2526,"518210 - Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",,04/2016,(Deltek Estimate),07/01/2016,
